agency,wordcount,shall,must,may not,required,prohibited,restrictions
2 [Reserved],148296,477,414,71,201,18,1181
"Administration For Children And Families, Department Of Health And Human Services",204488,553,1430,84,256,6,2329
Administrative Committee Of The Federal Register,13766,128,22,8,20,0,178
Administrative Conference Of The United States,12248,6,30,2,18,0,56
Advisory Council On Historic Preservation,31911,357,17,11,34,2,421
African Development Foundation,27803,93,93,25,53,14,278
Agency For International Development,238266,1880,478,70,395,60,2883
"Agricultural Marketing Service (Marketing Agreements And Orders; Fruits, Vegetables, Nuts), Department Of Agriculture",434742,7314,284,32,343,39,8012
"Agricultural Marketing Service (Marketing Agreements And Orders; Milk), Department Of Agriculture",125076,1252,113,15,167,0,1547
"Agricultural Marketing Service (Marketing Agreements And Orders; Miscellaneous Commodities), Department Of Agriculture",254101,3757,245,47,328,13,4390
"Agricultural Marketing Service (Standards, Inspections, Marketing Practices), Department Of Agriculture",563643,6013,505,56,486,99,7159
"Agricultural Research Service, Department Of Agriculture",14741,59,68,2,35,45,209
Air Transportation System Stabilization,6443,43,8,3,13,0,67
"Alcohol And Tobacco Tax And Trade Bureau, Department Of The Treasury",878883,4748,2252,297,1808,63,9168
American Battle Monuments Commission,9155,64,20,9,7,2,102
"Animal And Plant Health Inspection Service, Department Of Agriculture",1003998,6811,5820,219,1402,303,14555
Appalachian Regional Commission,86,0,0,0,0,0,0
Architectural And Transportation Barriers Compliance Board,149906,3863,97,24,912,18,4914
Arctic Research Commission,3748,42,6,8,6,2,64
Armed Forces Retirement Home,7076,25,13,0,11,1,50
"Benefits Review Board, Department Of Labor",10167,160,9,0,2,0,171
Board Of Governors Of The Federal Reserve System,2106,2,3,4,3,6,18
Broadcasting Board Of Governors,83860,759,82,25,161,20,1047
"Bureau Of Alcohol, Tobacco, Firearms, And Explosives, Department Of Justice",116545,849,320,32,278,38,1517
Bureau Of Consumer Financial Protection,1007230,2479,3469,513,3710,273,10444
"Bureau Of Economic Analysis, Department Of Commerce",4022,11,16,0,21,0,48
"Bureau Of Engraving And Printing, Department Of The Treasury",1776,18,2,0,2,11,33
"Bureau Of Indian Affairs, Department Of The Interior",554979,3655,2106,196,952,50,6959
"Bureau Of Indian Affairs, Department Of The Interior, And Indian Health Service, Department Of Health And Human Services",34752,367,28,9,45,1,450
"Bureau Of Industry And Security, Department Of Commerce",660710,410,1169,406,740,214,2939
